date,spr_kbbl
1997-09-26,563449
1997-10-03,563449
1997-10-10,563444
1997-10-17,563444
1997-10-24,563444
1997-10-31,563444
1997-11-07,563444
1997-11-14,563439
1997-11-21,563439
1997-11-28,563439
1997-12-05,563439
1997-12-12,563439
1997-12-19,563430
1997-12-26,563430
1998-01-02,563430
1998-01-09,563429
1998-01-16,563429
1998-01-23,563429
1998-01-30,563479
1998-02-06,563429
1998-02-13,563430
1998-02-20,563430
1998-02-27,563430
1998-03-06,563430
1998-03-13,563426
1998-03-20,563426
1998-03-27,563426
1998-04-03,563426
1998-04-10,563426
1998-04-17,563426
1998-04-24,563426
1998-05-01,563426
1998-05-08,563426
1998-05-15,563426
1998-05-22,563426
1998-05-29,563426
1998-06-05,563426
1998-06-12,563426
1998-06-19,563428
1998-06-26,563428
1998-07-03,563428
1998-07-10,563429
1998-07-17,563429
1998-07-24,563429
1998-07-31,563429
1998-08-07,563429
1998-08-14,563429
1998-08-21,563426
1998-08-28,563426
1998-09-04,563426
1998-09-11,563426
1998-09-18,563426
1998-09-25,563426
1998-10-02,563426
1998-10-09,563426
1998-10-16,563426
1998-10-23,563426
1998-10-30,563426
1998-11-06,563426
1998-11-13,564015
1998-11-20,564015
1998-11-27,564015
1998-12-04,564015
1998-12-11,564015
1998-12-18,568525
1998-12-25,568525
1999-01-01,568525
1999-01-08,568525
1999-01-15,568525
1999-01-22,571405
1999-01-29,571405
1999-02-05,571405
1999-02-12,571951
1999-02-19,572000
1999-02-26,571951
1999-03-05,571951
1999-03-12,571951
1999-03-19,571951
1999-03-26,571951
1999-04-02,571951
1999-04-09,571951
1999-04-16,571951
1999-04-23,571951
1999-04-30,571951
1999-05-07,571951
1999-05-14,572452
1999-05-21,572452
1999-05-28,572452
1999-06-04,572452
1999-06-11,573595
1999-06-18,573595
1999-06-25,573595
1999-07-02,573595
1999-07-09,573595
1999-07-16,574799
1999-07-23,574799
1999-07-30,574799
1999-08-06,574799
1999-08-13,575702
1999-08-20,575702
1999-08-27,575702
1999-09-03,575702
1999-09-10,575702
1999-09-17,574876
1999-09-24,574876
1999-10-01,574876
1999-10-08,574876
1999-10-15,575472
1999-10-22,575472
1999-10-29,575472
1999-11-05,572791
1999-11-12,572769
1999-11-19,570971
1999-11-26,569836
1999-12-03,569115
1999-12-10,567975
1999-12-17,567976
1999-12-24,567684
1999-12-31,567684
2000-01-07,567242
2000-01-14,567518
2000-01-21,568115
2000-01-28,568414
2000-02-04,568994
2000-02-11,569292
2000-02-18,569293
2000-02-25,569095
2000-03-03,569374
2000-03-10,569374
2000-03-17,569373
2000-03-24,569373
2000-03-31,569412
2000-04-07,569412
2000-04-14,569413
2000-04-21,569413
2000-04-28,569413
2000-05-05,569413
2000-05-12,569413
2000-05-19,569413
2000-05-26,569413
2000-06-02,569413
2000-06-09,569413
2000-06-16,569413
2000-06-23,568417
2000-06-30,568417
2000-07-07,568892
2000-07-14,569368
2000-07-21,569368
2000-07-28,569467
2000-08-04,570352
2000-08-11,570866
2000-08-18,570866
2000-08-25,571106
2000-09-01,571106
2000-09-08,571365
2000-09-15,571365
2000-09-22,571365
2000-09-29,570668
2000-10-06,570280
2000-10-13,570762
2000-10-20,570762
2000-10-27,567886
2000-11-03,565995
2000-11-10,564498
2000-11-17,560326
2000-11-24,554277
2000-12-01,552800
2000-12-08,547704
2000-12-15,543335
2000-12-22,541906
2000-12-29,541188
2001-01-05,540678
2001-01-12,540678
2001-01-19,540678
2001-01-26,540678
2001-02-02,541673
2001-02-09,541676
2001-02-16,541676
2001-02-23,541676
2001-03-02,541676
2001-03-09,542130
2001-03-16,542291
2001-03-23,542291
2001-03-30,542291
2001-04-06,542291
2001-04-13,542290
2001-04-20,542350
2001-04-27,542350
2001-05-04,542809
2001-05-11,543270
2001-05-18,543270
2001-05-25,543270
2001-06-01,543270
2001-06-08,543270
2001-06-15,543270
2001-06-22,543270
2001-06-29,543270
2001-07-06,543733
2001-07-13,543733
2001-07-20,543733
2001-07-27,543733
2001-08-03,543733
2001-08-10,543734
2001-08-17,543734
2001-08-24,543734
2001-08-31,543734
2001-09-07,543734
2001-09-14,544278
2001-09-21,544759
2001-09-28,544759
2001-10-05,544760
2001-10-12,544760
2001-10-19,544760
2001-10-26,544760
2001-11-02,545205
2001-11-09,545734
2001-11-16,546255
2001-11-23,546779
2001-11-30,547325
2001-12-07,547325
2001-12-14,548344
2001-12-21,549047
2001-12-28,549047
2002-01-04,550239
2002-01-11,551271
2002-01-18,552457
2002-01-25,553504
2002-02-01,554224
2002-02-08,557067
2002-02-15,557447
2002-02-22,559171
2002-03-01,559725
2002-03-08,559964
2002-03-15,560916
2002-03-22,560916
2002-03-29,560915
2002-04-05,561487
2002-04-12,563122
2002-04-19,564938
2002-04-26,565517
2002-05-03,566756
2002-05-10,567718
2002-05-17,568339
2002-05-24,569491
2002-05-31,570742
2002-06-07,571859
2002-06-14,572750
2002-06-21,574333
2002-06-28,575417
2002-07-05,576444
2002-07-12,577525
2002-07-19,578048
2002-07-26,578048
2002-08-02,578522
2002-08-09,579095
2002-08-16,579585
2002-08-23,580216
2002-08-30,580885
2002-09-06,582265
2002-09-13,583631
2002-09-20,583983
2002-09-27,585283
2002-10-04,586232
2002-10-11,587731
2002-10-18,588130
2002-10-25,588563
2002-11-01,589075
2002-11-08,590641
2002-11-15,591949
2002-11-22,593506
2002-11-29,594637
2002-12-06,597138
2002-12-13,598083
2002-12-20,598794
2002-12-27,598895
2003-01-03,599095
2003-01-10,599251
2003-01-17,599251
2003-01-24,599247
2003-01-31,599247
2003-02-07,599247
2003-02-14,599247
2003-02-21,599247
2003-02-28,599247
2003-03-07,599247
2003-03-14,599247
2003-03-21,599247
2003-03-28,599247
2003-04-04,599247
2003-04-11,599448
2003-04-18,599448
2003-04-25,599448
2003-05-02,599585
2003-05-09,600390
2003-05-16,601080
2003-05-23,601602
2003-05-30,602527
2003-06-06,603975
2003-06-13,605234
2003-06-20,605532
2003-06-27,607327
2003-07-04,608692
2003-07-11,609300
2003-07-18,610000
2003-07-25,610700
2003-08-01,612413
2003-08-08,612562
2003-08-15,612700
2003-08-22,615926
2003-08-29,616993
2003-09-05,618456
2003-09-12,620228
2003-09-19,621367
2003-09-26,622000
2003-10-03,623805
2003-10-10,625686
2003-10-17,627093
2003-10-24,628750
2003-10-31,629986
2003-11-07,631209
2003-11-14,632222
2003-11-21,632635
2003-11-28,633380
2003-12-05,634179
2003-12-12,634700
2003-12-19,635658
2003-12-26,636355
2004-01-02,638232
2004-01-09,639277
2004-01-16,639586
2004-01-23,640462
2004-01-30,641063
2004-02-06,641855
2004-02-13,643444
2004-02-20,645327
2004-02-27,646581
2004-03-05,647542
2004-03-12,648200
2004-03-19,649569
2004-03-26,650882
2004-04-02,652143
2004-04-09,652985
2004-04-16,654312
2004-04-23,656502
